Property Name,Location,Price,Price per sqft,Area,BHK,Type,Posted Time,Posted By,Property URL,Image URL,Page
Rani Aakriti Shantiniketan,"Sector 143B, Noida",19900000,12838,"1,550 sqft",3 BHK,Ready To Move,Dealer·4w ago,Naugwan Property Solutions,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-rani-aakriti-shantiniketan-sector-143b-noida-1550-sq-ft-spid-S79723947,N/A,page_22.html
Paras Tierea,"Sector 137, Noida",9000000,7531,"1,195 sqft",2 BHK,Ready To Move,N/A,clients Homes,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-paras-tierea-sector-137-noida-1195-sq-ft-r4-spid-D72547730,N/A,page_22.html
Parsvnath Prestige,"Sector 93, Noida",26000000,16774,"1,550 sqft",3 BHK,Ready To Move,Dealer·2d ago,Sunfox Realty,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-parsvnath-prestige-sector-93-noida-1550-sq-ft-spid-E80111911,N/A,page_23.html
Jaypee Greens Kalypso Court,"Sector 128, Noida",26000000,12871,"2,020 sqft",2 BHK,Ready To Move,Dealer·2w ago,Sunfox Realty,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-jaypee-greens-kalypso-court-sector-128-noida-2020-sq-ft-spid-Z80509009,N/A,page_23.html
ATS Greens Village,"Sector 93 A, Noida",29500000,16857,"1,750 sqft",3 BHK,Ready To Move,Dealer·2w ago,Sunfox Realty,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ats-greens-village-sector-93-a-noida-1750-sq-ft-spid-O80440575,N/A,page_23.html
County 107,"Sector 107, Noida",144700000,22024,"6,570 sqft",5 BHK,Ready To Move,Dealer·3w ago,Sunfox Realty,https://www.99acres.com/5-bhk-bedroom-apartment-flat-for-sale-in-county-107-sector-107-noida-6570-sq-ft-spid-K80170127,N/A,page_23.html
County 107,"Sector 107, Noida",77500000,22136,"3,501 sqft",4 BHK,Ready To Move,Dealer·1mo ago,Sunfox Realty,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-county-107-sector-107-noida-3501-sq-ft-spid-O79858167,N/A,page_23.html
County 107,"Sector 107, Noida",155000000,23664,"6,550 sqft",5 BHK,Ready To Move,Dealer·1mo ago,Sunfox Realty,https://www.99acres.com/5-bhk-bedroom-apartment-flat-for-sale-in-county-107-sector-107-noida-6550-sq-ft-spid-X79746743,N/A,page_23.html
Parx Laureate,"Sector 108, Noida",76500000,15695,"4,874 sqft",4 BHK,Ready To Move,Dealer·6d ago,Sunfox Realty,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-parx-laureate-sector-108-noida-4874-sq-ft-spid-I79452509,N/A,page_23.html
ATS Pious Hideaways,"Sector 150, Noida",18500000,18137,"1,020 sqft",3 BHK,Under Construction,Today,Owner,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ats-pious-hideaways-sector-150-noida-1020-sq-ft-spid-K80890789,N/A,page_23.html
Parsvnath Prestige,"Sector 93, Noida",23000000,12885,"1,785 sqft",3 BHK,Ready To Move,Dealer·Yesterday,Sunfox Realty,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-parsvnath-prestige-sector-93-noida-1785-sq-ft-spid-M79554239,N/A,page_23.html
ATS Greens Village,"Sector 93 A, Noida",32000000,18285,"1,750 sqft",3 BHK,Ready To Move,Dealer·3d ago,Sunfox Realty,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ats-greens-village-sector-93-a-noida-1750-sq-ft-spid-I79518063,N/A,page_23.html
Parx Laureate,"Sector 108, Noida",51600000,15573,"3,312 sqft",3 BHK,Ready To Move,Dealer·6d ago,Sunfox Realty,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-parx-laureate-sector-108-noida-3312-sq-ft-spid-A79452651,N/A,page_23.html
Parx Laureate,"Sector 108, Noida",61900000,15494,"3,995 sqft",4 BHK,Ready To Move,Dealer·6d ago,Sunfox Realty,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-parx-laureate-sector-108-noida-3995-sq-ft-spid-G79459609,N/A,page_23.html
Jaypee Greens Imperial Court,"Sector 128, Noida",39000000,15360,"2,539 sqft",3 BHK,Ready To Move,Dealer·1w ago,Sunfox Realty,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-jaypee-greens-imperial-court-sector-128-noida-2539-sq-ft-spid-C79408253,N/A,page_23.html
Eldeco Utopia,"Sector 93 A, Noida",48000000,13114,"3,660 sqft",3 BHK,Ready To Move,Dealer·1w ago,Sunfox Realty,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-eldeco-utopia-sector-93-a-noida-3660-sq-ft-spid-V79388077,N/A,page_23.html
Eldeco Olympia,"Sector 93 A, Noida",30000000,13953,"2,150 sqft",3 BHK,Ready To Move,Dealer·1w ago,Sunfox Realty,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-eldeco-olympia-sector-93-a-noida-2150-sq-ft-spid-N79387977,N/A,page_23.html
Eldeco Sylvan View,"Sector 93 A, Noida",31900000,14177,"2,250 sqft",3 BHK,Ready To Move,Dealer·1mo ago,Sunfox Realty,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-eldeco-sylvan-view-sector-93-a-noida-2250-sq-ft-spid-F78834859,N/A,page_23.html
Jaypee Greens Kosmos,"Sector 134, Noida",7100000,6794,"1,045 sqft",2 BHK,Ready To Move,N/A,Real Propmart,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-jaypee-greens-kosmos-sector-134-noida-1045-sq-ft-spid-I80113499,N/A,page_23.html
Supertech Supernova,"Sector 94, Noida",29500000,14000,"2,105 sqft",3 BHK,Ready To Move,N/A,Realty Care Pvt Ltd,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-supertech-supernova-sector-94-noida-2105-sq-ft-spid-Z80642419,N/A,page_23.html
Supertech Emerald Court,"Sector 93 A, Noida",33500000,13214,"2,535 sqft",4 BHK,Ready To Move,Dealer·2w ago,N.s.properties,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-supertech-emerald-court-sector-93-a-noida-2535-sq-ft-r1-spid-G78812781,N/A,page_23.html
ATS Le Grandiose,"Sector 150, Noida",15500000,9538,"1,625 sqft",3 BHK,Ready To Move,Dealer·3w ago,Capital Wizard,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ats-le-grandiose-sector-150-noida-1625-sq-ft-spid-O80012125,N/A,page_23.html
Eureka Park By Tata Value Homes,"Sector 150, Noida",11399999,10363,"1,100 sqft",2 BHK,Ready To Move,Dealer·Today,Rise Property,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-eureka-park-by-tata-value-homes-sector-150-noida-1100-sq-ft-spid-N79571165,N/A,page_23.html
Eureka Park By Tata Value Homes,"Sector 150, Noida",14000000,10894,"1,285 sqft",3 BHK,Ready To Move,Dealer·Today,Rise Property,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-eureka-park-by-tata-value-homes-sector-150-noida-1285-sq-ft-spid-E79571269,N/A,page_23.html
Eureka Park By Tata Value Homes,"Sector 150, Noida",13500000,10505,"1,285 sqft",3 BHK,Ready To Move,Dealer·Today,Rise Property,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-eureka-park-by-tata-value-homes-sector-150-noida-1285-sq-ft-spid-S79571279,N/A,page_23.html
Eureka Park By Tata Value Homes,"Sector 150, Noida",11500000,10454,"1,100 sqft",2 BHK,Ready To Move,Dealer·Today,Rise Property,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-eureka-park-by-tata-value-homes-sector-150-noida-1100-sq-ft-spid-L79571185,N/A,page_23.html
Gulshan Ikebana,"Sector 143, Noida",16900000,12611,"1,340 sqft",3 BHK,Ready To Move,Dealer·3d ago,Realsecure Homz Pvt Ltd,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-gulshan-ikebana-sector-143-noida-1340-sq-ft-spid-L80788089,N/A,page_23.html
Paramount Floraville,"Sector 137, Noida",18800000,9616,"1,955 sqft",3 BHK,Ready To Move,Dealer·2w ago,Skyera Real Estates,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-paramount-floraville-sector-137-noida-1955-sq-ft-spid-C80137741,N/A,page_23.html
Paramount Floraville,"Sector 137, Noida",18800000,9616,"1,955 sqft",3 BHK,Ready To Move,Dealer·2w ago,Skyera Real Estates,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-paramount-floraville-sector-137-noida-1955-sq-ft-spid-C80137741,N/A,page_24.html
Paramount Floraville,"Sector 137, Noida",13000000,10236,"1,270 sqft",3 BHK,Ready To Move,Dealer·2w ago,Skyera Real Estates,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-paramount-floraville-sector-137-noida-1270-sq-ft-spid-T79970683,N/A,page_24.html
Paramount Floraville,"Sector 137, Noida",11500000,11004,"1,045 sqft",2 BHK,Ready To Move,Dealer·2w ago,Skyera Real Estates,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-paramount-floraville-sector-137-noida-1045-sq-ft-spid-I79948785,N/A,page_24.html
Gulshan Ikebana,"Sector 143, Noida",32100000,16090,"1,995 sqft",3 BHK,Ready To Move,Dealer·1mo ago,Realsecure Homz Pvt Ltd,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-gulshan-ikebana-sector-143-noida-1995-sq-ft-spid-X80078793,N/A,page_24.html
ATS Pious Hideaways,"Sector 150, Noida",18500000,18137,"1,020 sqft",3 BHK,Under Construction,Today,Owner,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ats-pious-hideaways-sector-150-noida-1020-sq-ft-spid-K80890789,N/A,page_24.html
Gulshan Ikebana,"Sector 143, Noida",30500000,15288,"1,995 sqft",3 BHK,Ready To Move,Dealer·1mo ago,Realsecure Homz Pvt Ltd,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-gulshan-ikebana-sector-143-noida-1995-sq-ft-spid-G80078539,N/A,page_24.html
Paramount Floraville,"Sector 137, Noida",20500000,12166,"1,685 sqft",3 BHK,Ready To Move,Dealer·1mo ago,Skyera Real Estates,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-paramount-floraville-sector-137-noida-1685-sq-ft-spid-R79562159,N/A,page_24.html
Paramount Floraville,"Sector 137, Noida",11000000,10526,"1,045 sqft",2 BHK,Ready To Move,Dealer·1mo ago,Skyera Real Estates,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-paramount-floraville-sector-137-noida-1045-sq-ft-spid-P79856481,N/A,page_24.html
Paramount Floraville,"Sector 137, Noida",16800000,20023,"1,425 sqft",3 BHK,Ready To Move,Dealer·2w ago,Skyera Real Estates,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-paramount-floraville-sector-137-noida-1425-sq-ft-spid-T79270669,N/A,page_24.html
Paramount Floraville,"Sector 137, Noida",12600000,10161,"1,240 sqft",2 BHK,Ready To Move,Dealer·2w ago,Skyera Real Estates,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-paramount-floraville-sector-137-noida-1240-sq-ft-spid-I79234143,N/A,page_24.html
Gulshan Ikebana,"Sector 143, Noida",16600000,12241,"1,356 sqft",3 BHK,Ready To Move,Dealer·3w ago,Realsecure Homz Pvt Ltd,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-gulshan-ikebana-sector-143-noida-1356-sq-ft-spid-G79207729,N/A,page_24.html
Gulshan Ikebana,"Sector 143, Noida",23500000,13864,"1,695 sqft",3 BHK,Ready To Move,Dealer·4w ago,Realsecure Homz Pvt Ltd,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-gulshan-ikebana-sector-143-noida-1695-sq-ft-spid-O79208017,N/A,page_24.html
Gulshan Ikebana,"Sector 143, Noida",16100000,12014,"1,340 sqft",3 BHK,Ready To Move,Dealer·4w ago,Realsecure Homz Pvt Ltd,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-gulshan-ikebana-sector-143-noida-1340-sq-ft-spid-Q79207857,N/A,page_24.html
Gulshan Ikebana,"Sector 143, Noida",23000000,13569,"1,695 sqft",3 BHK,Ready To Move,Dealer·1mo ago,Realsecure Homz Pvt Ltd,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-gulshan-ikebana-sector-143-noida-1695-sq-ft-spid-O78947901,N/A,page_24.html
Paras Tierea,"Sector 137, Noida",6500000,7878,825 sqft,2 BHK,Ready To Move,Dealer·3w ago,guruji Properties,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-paras-tierea-sector-137-noida-825-sq-ft-spid-Z80060871,N/A,page_24.html
Paramount Floraville,"Sector 137, Noida",11000000,10526,"1,045 sqft",2 BHK,Ready To Move,N/A,Vidhi Infra Developers,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-paramount-floraville-sector-137-noida-1045-sq-ft-spid-V80009483,N/A,page_24.html
Paramount Floraville,"Sector 137, Noida",13500000,10887,"1,240 sqft",2 BHK,Ready To Move,N/A,Vidhi Infra Developers,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-paramount-floraville-sector-137-noida-1240-sq-ft-spid-Z80009845,N/A,page_24.html
Paramount Floraville,"Sector 137, Noida",19000000,11275,"1,685 sqft",3 BHK,Ready To Move,N/A,Vidhi Infra Developers,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-paramount-floraville-sector-137-noida-1685-sq-ft-spid-Z80009573,N/A,page_24.html
Paramount Floraville,"Sector 137, Noida",10500000,10047,"1,045 sqft",2 BHK,Ready To Move,N/A,Vidhi Infra Developers,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-paramount-floraville-sector-137-noida-1045-sq-ft-spid-I80010107,N/A,page_24.html
Rani Aakriti Shantiniketan,"Sector 143B, Noida",22500000,12769,"1,762 sqft",3 BHK,Ready To Move,Dealer·1mo ago,The Three Man Properties,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-rani-aakriti-shantiniketan-sector-143b-noida-1762-sq-ft-spid-G79771289,N/A,page_24.html
Ajnara Daffodil,"Sector 137, Noida",13000000,11659,"1,115 sqft",2 BHK,Ready To Move,N/A,Vidhi Infra Developers,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-ajnara-daffodil-sector-137-noida-1115-sq-ft-spid-U79060997,N/A,page_24.html
Paramount Floraville,"Sector 137, Noida",19500000,11572,"1,685 sqft",3 BHK,Ready To Move,N/A,Vidhi Infra Developers,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-paramount-floraville-sector-137-noida-1685-sq-ft-spid-X78617361,N/A,page_24.html
Gulshan Ikebana,"Sector 143, Noida",31000000,15538,"1,995 sqft",3 BHK,Ready To Move,Dealer·4w ago,RK Propwell Pvt. Ltd.,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-gulshan-ikebana-sector-143-noida-1995-sq-ft-spid-J80208631,N/A,page_24.html
Maxblis White House,"Sector 75, Noida",13799999,11603,"1,185 sqft",2 BHK,Ready To Move,Dealer·3d ago,Mangal Associates,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-maxblis-white-house-sector-75-noida-1185-sq-ft-spid-N80306197,N/A,page_24.html
Ajnara Daffodil,"Sector 137, Noida",24800000,11861,"2,095 sqft",3 BHK,Ready To Move,Dealer·6d ago,J k associates group,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ajnara-daffodil-sector-137-noida-2095-sq-ft-spid-A80772039,N/A,page_24.html
Paras Tierea,"Sector 137, Noida",9300000,7782,"1,195 sqft",2 BHK,Ready To Move,N/A,Vidhi Infra Developers,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-paras-tierea-sector-137-noida-1195-sq-ft-spid-S80443475,N/A,page_24.html
Jaypee Greens Imperial Court,"Sector 128, Noida",50000000,13888,"3,600 sqft",4 BHK,Ready To Move,Dealer·1mo ago,Noida Properties Hub,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-jaypee-greens-imperial-court-sector-128-noida-3600-sq-ft-spid-B78948539,N/A,page_25.html
JM Orchid,"Sector 76, Noida",13000000,11333,"1,147 sqft",2 BHK,Ready To Move,Dealer·1mo ago,SNJ REALTY INTERNATIONAL PVT LTD,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-jm-orchid-sector-76-noida-1147-sq-ft-r1-spid-D79082415,N/A,page_25.html
Jaypee Greens Kosmos,"Sector 134, Noida",11500000,8984,"1,380 sqft",3 BHK,Ready To Move,Dealer·1mo ago,Homes Realtors,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-jaypee-greens-kosmos-sector-134-noida-1380-sq-ft-spid-L79987035,N/A,page_25.html
Paras Tierea,"Sector 137, Noida",9500000,7509,"1,265 sqft",3 BHK,Ready To Move,N/A,Vidhi Infra Developers,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-paras-tierea-sector-137-noida-1265-sq-ft-spid-I79012491,N/A,page_25.html
Jaypee Greens Kalypso Court,"Sector 128, Noida",26000000,12560,"2,070 sqft",2 BHK,Ready To Move,N/A,REALTY DART,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-jaypee-greens-kalypso-court-sector-128-noida-2070-sq-ft-r2-spid-X76261087,N/A,page_25.html
Jaypee Greens Kalypso Court,"Sector 128, Noida",52500000,14747,"3,560 sqft",4 BHK,Ready To Move,N/A,REALTY DART,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-jaypee-greens-kalypso-court-sector-128-noida-3560-sq-ft-r2-spid-G76312731,N/A,page_25.html
Jaypee Greens Kalypso Court,"Sector 128, Noida",40000000,15267,"2,620 sqft",3 BHK,Ready To Move,N/A,REALTY DART,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-jaypee-greens-kalypso-court-sector-128-noida-2620-sq-ft-r2-spid-T76251695,N/A,page_25.html
ATS Pious Hideaways,"Sector 150, Noida",18500000,18137,"1,020 sqft",3 BHK,Under Construction,Today,Owner,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ats-pious-hideaways-sector-150-noida-1020-sq-ft-spid-K80890789,N/A,page_25.html
Jaypee Greens Pavilion Heights,"Sector 128, Noida",36000000,13451,"2,676 sqft",4 BHK,Ready To Move,N/A,REALTY DART,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-jaypee-greens-pavilion-heights-sector-128-noida-2676-sq-ft-r6-spid-T68404276,N/A,page_25.html
Jaypee Greens Kalypso Court,"Sector 128, Noida",37000000,13962,"2,650 sqft",3 BHK,Ready To Move,N/A,REALTY DART,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-jaypee-greens-kalypso-court-sector-128-noida-2650-sq-ft-r4-spid-I69850992,N/A,page_25.html
Jaypee Greens Imperial Court,"Sector 128, Noida",41000000,20707,"2,640 sqft",3 BHK,Ready To Move,N/A,REALTY DART,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-jaypee-greens-imperial-court-sector-128-noida-2640-sq-ft-r5-spid-C68389612,N/A,page_25.html
Galaxy North Avenue 2,Noida Extension,7900000,6723,"1,175 sqft",2 BHK,Ready To Move,Dealer·3w ago,Shree Shyam Propeties,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-galaxy-north-avenue-2-noida-extension-noida-1175-sq-ft-spid-O80345235,N/A,page_25.html
Galaxy Royale,Noida Extension,8500000,6854,"1,240 sqft",2 BHK,Ready To Move,Dealer·1mo ago,Dial Property,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-galaxy-royale-noida-extension-noida-1240-sq-ft-spid-S80153743,N/A,page_25.html
AVS Orchard,"Sector 77, Noida",10000000,10458,960 sqft,2 BHK,Ready To Move,Dealer·1mo ago,vr reaestate,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-avs-orchard-sector-77-noida-960-sq-ft-spid-A79853553,N/A,page_25.html
Jaypee Greens Kosmos,"Sector 134, Noida",15000000,9615,"1,560 sqft",3 BHK,Ready To Move,Dealer·3w ago,Investors Club Realty,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-jaypee-greens-kosmos-sector-134-noida-1560-sq-ft-spid-E79552217,N/A,page_25.html
Wave Amore,"Sector 32, Noida",41400000,13502,"3,066 sqft",4 BHK,Ready To Move,Dealer·1mo ago,Property Mantra India private limited,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-wave-amore-sector-32-noida-3066-sq-ft-spid-F79711995,N/A,page_25.html
Great Value Sharanam,"Sector 107, Noida",41000000,13898,"2,950 sqft",4 BHK,Ready To Move,Dealer·3w ago,GSNEGI REALTY AND FINANCE SOLUTIONS,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-great-value-sharanam-sector-107-noida-2950-sq-ft-r28-spid-D40732461,N/A,page_25.html
Supertech Cape Town,"Sector 74, Noida",11600000,8957,"1,295 sqft",3 BHK,Ready To Move,Dealer·1mo ago,Mahendra Associates,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-supertech-cape-town-sector-74-noida-1295-sq-ft-r7-spid-D31028067,N/A,page_25.html
ATS One Hamlet,"Sector 104, Noida",40000000,18604,"2,150 sqft",3 BHK,Ready To Move,Dealer·1mo ago,Sai Kirpa Associate,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ats-one-hamlet-sector-104-noida-2150-sq-ft-spid-T79814611,N/A,page_25.html
Galaxy North Avenue 2,Noida Extension,9200000,12813,"1,250 sqft",3 BHK,Ready To Move,N/A,Landmark Infratech,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-galaxy-north-avenue-2-noida-extension-noida-1250-sq-ft-spid-D80207183,N/A,page_25.html
Aig Park Avenue,Noida Extension,11500000,8202,"1,402 sqft",3 BHK,Ready To Move,N/A,Landmark Infratech,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-aig-park-avenue-noida-extension-noida-1402-sq-ft-spid-P80161195,N/A,page_25.html
Exotica Dreamville,Noida Extension,12600000,12000,"1,340 sqft",3 BHK,Ready To Move,N/A,Landmark Infratech,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-exotica-dreamville-noida-extension-noida-1340-sq-ft-spid-P80144329,N/A,page_25.html
Galaxy North Avenue 2,Noida Extension,9000000,11221,"1,070 sqft",2 BHK,Ready To Move,N/A,Landmark Infratech,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-galaxy-north-avenue-2-noida-extension-noida-1070-sq-ft-spid-S80046143,N/A,page_25.html
Galaxy North Avenue 2,Noida Extension,8700000,13102,"1,175 sqft",2 BHK,Ready To Move,N/A,Landmark Infratech,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-galaxy-north-avenue-2-noida-extension-noida-1175-sq-ft-spid-L79853911,N/A,page_25.html
Maxblis White House,"Sector 75, Noida",19000000,13669,"1,390 sqft",3 BHK,Ready To Move,N/A,Growmore Realtors,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-maxblis-white-house-sector-75-noida-1390-sq-ft-r1-spid-S79388957,N/A,page_25.html
County 107,"Sector 107, Noida",90000000,20080,"4,482 sqft",4 BHK,Ready To Move,N/A,Growmore Realtors,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-county-107-sector-107-noida-4482-sq-ft-r2-spid-Y77216205,N/A,page_25.html
County 107,"Sector 107, Noida",140000000,21308,"6,570 sqft",5 BHK,Ready To Move,N/A,Growmore Realtors,https://www.99acres.com/5-bhk-bedroom-apartment-flat-for-sale-in-county-107-sector-107-noida-6570-sq-ft-r2-spid-T77216611,N/A,page_26.html
ATS Pious Hideaways,"Sector 150, Noida",18500000,18137,"1,020 sqft",3 BHK,Under Construction,Today,Owner,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ats-pious-hideaways-sector-150-noida-1020-sq-ft-spid-K80890789,N/A,page_26.html
County 107,"Sector 107, Noida",80000000,22850,"3,501 sqft",4 BHK,Ready To Move,N/A,Growmore Realtors,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-county-107-sector-107-noida-3501-sq-ft-r2-spid-G77216003,N/A,page_26.html
Gaur 12th Avenue,Noida Extension,8000000,10113,"1,055 sqft",2 BHK,Ready To Move,N/A,Landmark Infratech,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-gaur-12th-avenue-noida-extension-noida-1055-sq-ft-spid-C79427795,N/A,page_26.html
Ivy County,"Sector 75, Noida",30000000,18115,"1,656 sqft",3 BHK,Ready To Move,N/A,Growmore Realtors,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ivy-county-sector-75-noida-1656-sq-ft-r6-spid-R71157084,N/A,page_26.html
ACE Parkway,"Sector 150, Noida",31000000,14155,"2,190 sqft",3 BHK,Ready To Move,N/A,Taurus Estate,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ace-parkway-sector-150-noida-2190-sq-ft-r1-spid-W78496019,N/A,page_26.html
Mahagun Moderne,"Sector 78, Noida",15200000,12160,"1,250 sqft",2 BHK,Ready To Move,N/A,KGN Real Estate,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-mahagun-moderne-sector-78-noida-1250-sq-ft-spid-W80366653,N/A,page_26.html
County 107,"Sector 107, Noida",80000000,22850,"3,501 sqft",4 BHK,Ready To Move,N/A,Saras Realty,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-county-107-sector-107-noida-3501-sq-ft-spid-X79850017,N/A,page_26.html
Panchsheel Pratishtha,"Sector 75, Noida",30500000,14878,"2,050 sqft",3 BHK,Ready To Move,Dealer·Today,smart Properties Solutions,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-panchsheel-pratishtha-sector-75-noida-2050-sq-ft-spid-N79563109,N/A,page_26.html
SDS NRI Residency,"Sector 45, Noida",64000000,16000,"4,840 sqft",5 BHK,Ready To Move,Dealer·2d ago,V.K Realty,https://www.99acres.com/5-bhk-bedroom-apartment-flat-for-sale-in-sds-nri-residency-sector-45-noida-4840-sq-ft-spid-N80787755,N/A,page_26.html
Supertech Ecociti,"Sector 137, Noida",9500000,10674,890 sqft,2 BHK,Ready To Move,N/A,Subah Estate.,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-supertech-ecociti-sector-137-noida-890-sq-ft-spid-M80823901,N/A,page_26.html
Supertech Ecociti,"Sector 137, Noida",10500000,9704,"1,082 sqft",2 BHK,Ready To Move,N/A,Subah Estate.,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-supertech-ecociti-sector-137-noida-1082-sq-ft-spid-Q80282337,N/A,page_26.html
Supertech Ecociti,"Sector 137, Noida",18000000,11285,"1,595 sqft",3 BHK,Ready To Move,N/A,Subah Estate.,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-supertech-ecociti-sector-137-noida-1595-sq-ft-spid-Q80794261,N/A,page_26.html
Supertech Ecociti,"Sector 137, Noida",16000000,11387,"1,405 sqft",3 BHK,Ready To Move,N/A,Subah Estate.,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-supertech-ecociti-sector-137-noida-1405-sq-ft-spid-U78748283,N/A,page_26.html
