Property Name,Location,Price,Price per sqft,Area,BHK,Type,Posted Time,Posted By,Property URL,Image URL,Page
Paramount Floraville,"Sector 137, Noida",11500000,11961,"1,045 sqft",2 BHK,Ready To Move,1mo ago,Owner,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-paramount-floraville-sector-137-noida-1045-sq-ft-spid-W79283899,N/A,page_1.html
Jaypee Aman,"Sector 151, Noida",7900000,8522,927 sqft,2 BHK,Ready To Move,2mo ago,Owner,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-jaypee-aman-sector-151-noida-927-sq-ft-spid-L79261417,N/A,page_1.html
Prateek Laurel,"Sector 120, Noida",16800000,14840,"1,385 sqft",3 BHK,Ready To Move,1mo ago,Owner,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-prateek-laurel-sector-120-noida-1132-sq-ft-spid-T79640933,N/A,page_1.html
The Golden Palm,"Sector 168, Noida",18500000,11904,"1,554 sqft",3 BHK,Ready To Move,Dealer·2w ago,Acquire Estate,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-the-golden-palm-sector-168-noida-1554-sq-ft-spid-D80503995,N/A,page_1.html
Purvanchal Royal Park,"Sector 137, Noida",28000000,14358,"1,950 sqft",3 BHK,Ready To Move,Dealer·1w ago,The Home Solutions,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-purvanchal-royal-park-sector-137-noida-1950-sq-ft-spid-F80629271,N/A,page_1.html
Krishna Apra Residency,"Sector 61, Noida",29400000,15909,"1,848 sqft",3 BHK,Ready To Move,2w ago,Owner,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-sector-61-noida-1848-sq-ft-spid-O80498177,N/A,page_1.html
Ajnara Daffodil,"Sector 137, Noida",23000000,10739,"2,095 sqft",3 BHK,Ready To Move,Dealer·1mo ago,PLATINUM HOMES,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ajnara-daffodil-sector-137-noida-2095-sq-ft-spid-Y78734401,N/A,page_10.html
Paras Tierea,"Sector 137, Noida",12800000,7787,"1,695 sqft",3 BHK,Ready To Move,N/A,bhavya estate,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-paras-tierea-sector-137-noida-1695-sq-ft-spid-S79386297,N/A,page_10.html
3C Lotus Panache,"Sector 110, Noida",16200000,10602,"1,528 sqft",3 BHK,Ready To Move,Dealer·2d ago,Green shelters Propmart Pvt Ltd,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-3c-lotus-panache-sector-110-noida-1528-sq-ft-spid-E80790239,N/A,page_10.html
3C Lotus Boulevard,"Sector 100, Noida",17500000,12517,"1,398 sqft",2 BHK,Ready To Move,Dealer·1w ago,Green shelters Propmart Pvt Ltd,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-3c-lotus-boulevard-sector-100-noida-1398-sq-ft-spid-W80599169,N/A,page_10.html
