Property Name,Location,Price,Price_Numeric,Area,Area_Numeric,BHK,Type,Posted By,Posted Time,Property URL,Source,Price_Per_Sqft
Puri Diplomatic Greens,"Sector 111, Gurgaon",47200000.0,47200000.0,"2,950 sqft",2950.0,4 BHK,Ready To Move,Garg Realty,,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-puri-diplomatic-greens-sector-111-gurgaon-2950-sq-ft-spid-T76171217,99acres,16000
DLF Regency Park 2,"DLF Phase 4, Gurgaon",37500000.0,37500000.0,"1,777 sqft",1777.0,3 BHK,Ready To Move,Bhumi Realtors,Dealer·2d ago,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-dlf-regency-park-2-dlf-phase-4-gurgaon-1777-sq-ft-spid-G81623369,99acres,21102
"Sector 5, Gurgaon","Sector 5, Gurgaon",28000000.0,28000000.0,"3,150 sqft",3150.0,4 BHK,Ready To Move,MB Properties,Dealer·2w ago,https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-sector-5-gurgaon-3150-sq-ft-spid-K81763404,99acres,8888
Conscient Elevate,"Sector 59, Gurgaon",85000000.0,85000000.0,"3,395 sqft",3395.0,4 BHK,Ready To Move,Bhumi Realtors,Dealer·3w ago,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-conscient-elevate-sector-59-gurgaon-3395-sq-ft-spid-S81295209,99acres,25036
"Sector 22, Gurgaon","Sector 22, Gurgaon",29900000.0,29900000.0,"3,078 sqft",3078.0,4 BHK,Ready To Move,Metro Real Estate,,https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-sector-22-gurgaon-3078-sq-ft-spid-Z81018161,99acres,9714
Signature Global City 63A,"Sector 63A, Gurgaon",23500000.0,23500000.0,"1,340 sqft",1340.0,3 BHK,Ready To Move,Agnayi Property Management Company,,https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-signature-global-city-63a-sector-63a-gurgaon-1340-sq-ft-spid-L80970847,99acres,17537
Unitech Deerwood Chase,"Nirvana Country, Gurgaon",60000000.0,60000000.0,"3,400 sqft",3400.0,4 BHK,Ready To Move,Krishna Properties,,https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-unitech-deerwood-chase-nirvana-country-gurgaon-3400-sq-ft-spid-F77928437,99acres,17647
Puri Emerald Bay,"Sector 104, Gurgaon",19500000.0,19500000.0,"1,550 sqft",1550.0,2 BHK,Ready To Move,PROPERTY POINT,,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-puri-emerald-bay-sector-104-gurgaon-1550-sq-ft-spid-B81893590,99acres,12580
Smart World Orchard,"Sector 61, Gurgaon",26000000.0,26000000.0,"1,630 sqft",1630.0,3 BHK,Ready To Move,AVYOM PROPERTIES,Dealer·1w ago,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-smart-world-orchard-sector-61-gurgaon-1630-sq-ft-spid-J81870330,99acres,15950
Emaar Emerald Hills,"Sector 65, Gurgaon",44000000.0,44000000.0,"2,403 sqft",2403.0,4 BHK,Ready To Move,AVYOM PROPERTIES,Dealer·1w ago,https://www.99acres.com/4-bhk-bedroom-independent-builder-floor-for-sale-in-emaar-emerald-hills-sector-65-gurgaon-2403-sq-ft-spid-J81866990,99acres,18310
Experion The Heartsong,"Sector 108, Gurgaon",23500000.0,23500000.0,"2,003 sqft",2003.0,3 BHK,Ready To Move,Investors Choice,,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-experion-the-heartsong-sector-108-gurgaon-2003-sq-ft-spid-D80689165,99acres,11732
M3M Heights,"Sector 65, Gurgaon",38500000.0,38500000.0,"2,054 sqft",2054.0,3 BHK,Ready To Move,AVYOM PROPERTIES,Dealer·3w ago,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-m3m-heights-sector-65-gurgaon-2054-sq-ft-spid-U81506659,99acres,18743
