Property Name,Location,Price,Price per sqft,Area,BHK,Type,Posted Time,Posted By,Property URL,Image URL,Page
Vatika Independent Floors,"Sector 82, Gurgaon",9500000,10215,930 sqft,2 BHK,Ready To Move,Dealer?4w ago,HITESH YADAV,https://www.99acres.com/2-bhk-bedroom-independent-builder-floor-for-sale-in-vatika-independent-floors-sector-82-gurgaon-930-sq-ft-spid-L80673615,N/A,page_1.html
"Sector 4, Gurgaon","Sector 4, Gurgaon",8520000,6553,"1,300 sqft",3 BHK,Under Construction,Dealer?4d ago,Shree Krishna Properties,https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-sector-4-gurgaon-1300-sq-ft-spid-V81267327,N/A,page_1.html
Pyramid Urban,"Sector 67A, Gurgaon",8200000,13874,591 sqft,2 BHK,Ready To Move,Dealer?1w ago,SS Properties,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-pyramid-urban-sector-67a-gurgaon-591-sq-ft-spid-A81087085,N/A,page_1.html
merchant plaza,"Sector 88B, Gurgaon",10000000,14184,705 sqft,1 BHK,Ready To Move,2mo ago,Owner,https://www.99acres.com/studio-apartment-flat-for-sale-in-sector-88b-gurgaon-705-sq-ft-spid-D79957555,N/A,page_1.html
Mapsko Paradise,"Sector 83, Gurgaon",9950000,9476,"1,050 sqft",2 BHK,Ready To Move,N/A,Philby Real Estate,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-mapsko-paradise-sector-83-gurgaon-1050-sq-ft-spid-H81125991,N/A,page_1.html
Cosmos Express 99,"Sector 99, Gurgaon",8000000,10062,795 sqft,1 BHK,Ready To Move,N/A,Babbal Associates,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-cosmos-express-99-sector-99-gurgaon-795-sq-ft-spid-K81226489,N/A,page_1.html
Antriksh Heights,"Sector 84, Gurgaon",9000000,7083,"1,200 sqft",2 BHK,Ready To Move,N/A,Zupita Homes,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-antriksh-heights-sector-84-gurgaon-1200-sq-ft-r1-spid-V79363689,N/A,page_1.html
Pyramid Urban,"Sector 67A, Gurgaon",8300000,14043,591 sqft,2 BHK,Ready To Move,Dealer?1w ago,SS Properties,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-pyramid-urban-sector-67a-gurgaon-591-sq-ft-spid-T81086771,N/A,page_1.html
Signature Andour Heights,"Sector 71, Gurgaon",8500000,15714,540 sqft,2 BHK,Under Construction,Dealer?2d ago,PropertyClick,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-signature-andour-heights-sector-71-gurgaon-541-sq-ft-spid-K81273287,N/A,page_1.html
Signature Global Park,"Sohna, Gurgaon",10000000,8482,"1,120 sqft",3 BHK,Ready To Move,Dealer?6d ago,Global PARK REALTORS,https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-signature-global-park-sohna-gurgaon-1120-sq-ft-spid-Q78370033,N/A,page_1.html
"Vatika Independent floor, sector 83","Sector 83, Gurgaon",10000000,10752,930 sqft,2 BHK,Ready To Move,Dealer?3w ago,Griha Siddhi Estate,https://www.99acres.com/2-bhk-bedroom-independent-builder-floor-for-sale-in-sector-83-gurgaon-930-sq-ft-spid-R80824195,N/A,page_1.html
Antriksh Heights,"Sector 84, Gurgaon",9000000,7500,"1,200 sqft",2 BHK,Ready To Move,Dealer?2d ago,Expert Landbase,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-antriksh-heights-sector-84-gurgaon-1200-sq-ft-spid-X81260433,N/A,page_1.html
Signature Global Park 4,"Sector 36 Sohna, Gurgaon",9720000,8991,"1,081 sqft",3 BHK,Ready To Move,N/A,DEVANSHI REALTECH,https://www.99acres.com/3-bhk-bedroom-independent-builder-floor-for-sale-in-signature-global-park-4-sector-36-sohna-gurgaon-1081-sq-ft-spid-X80153087,N/A,page_1.html
Signature Global Grand IVA,"Sector 103, Gurgaon",9100000,13963,644 sqft,3 BHK,Ready To Move,Dealer?1mo ago,YUVAN ESTATE,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-signature-global-grand-iva-sector-103-gurgaon-645-sq-ft-spid-X80100821,N/A,page_1.html
Suncity Avenue 76,"Sector 76, Gurgaon",8800000,14047,626 sqft,2 BHK,Ready To Move,Dealer?1mo ago,CYBER HEIGHTS PROPERTIES,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-suncity-avenue-76-sector-76-gurgaon-626-sq-ft-spid-U80388195,N/A,page_1.html
